Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
US003994576 Example01P,zemax,21.6,2.8,40,Zeiss Sonnar 40mm F2.8 Rollei
US003997247 Example11P,zemax,24.7,5.6,40,Zeiss S-Biogon f5.6 40mm
US004029397_Example02P,zemax,21.6,3.5,18,Olympus 18mm f3.5 Zuiko MC Auto-W
US004045128 Example01P,zemax,21.6,4.5,400,Canon FD400mm f4.5 SSC
US004046459 Example02P,zemax,21.6,2.8,28,Canon FD28mm f2.8 SC
US004057330_Example02P,zemax,21.6,2.8,135,Nikon AI Nikkor 135mm f/2.8S
US004062630_Example05_Tale30,zemax,21.6,2,135,Nikon AI Nikkor 135mm F2
US004063802_Example01P,zemax,21.6,2,85,Olympus Zuiko Auto-T 85mm
US004094588 Example01P,zemax,21.8,1.4,50,Olympus Zuiko Auto-S 50mm F1.4
US004099843 Example06P,zemax,21.6,1.2,50,Olympus Zuiko Auto-S 50mm F1.2
US004099850_Example05P,zemax,21.6,3.5,28,Nikon Nikkor 28mm f/3.5
US004123144_Example08P,zemax,21.6,2,50,Leica Summicron R 50mm f/2
US004124276_EXAMPLE03P,zemax,21.6,2.8,85,Konica Minolta 85mm F2.8 VariSoft
US004143944_Example01P,zemax,21.6,1.4,35,Ricoh smc Pentax-M 35mm F1.4
US004147410_Example01P,zemax,21.6,3.8,50,Konica Minolta 24-50mm F4 MD Zoom
US004154508 Example02MLP,zemax,21.6,4.5,300,Nikon Nikkor 300mm ED F4.5
US004154508 Example11_Tale73,zemax,21.6,2.8,afocal,Nikon TC-1
US004154508_Example02P,zemax,21.6,4.5,300,Nikon Nikkor 300mm ED F4.5
US004154509 Example01P,zemax,21.6,2.8,40,Ricoh smc Pentax-M 40mm F2.8
US004170403 Example01P,zemax,21.6,2.8,35,Konica Minolta Hexanon 35mm F2.8
US004176913_Example02_Tale31,zemax,22.1,2,200,Nikon AI Nikkor 200mm f/2S IF-ED
US004192577_Example01P,zemax,21.6,3.5,135,Konica Minolta 50-135mm F3.5 MD Zoom
US004206971 Example01P,zemax,21.6,,afocal,Nikon TC-14
US004206971 ExampleMLP,zemax,21.6,2,200,Nikon Nikkor 200mm f/2 IF-ED
US004210388 Example01P,zemax,21.6,2,21,Olympus Zuiko Auto-W 21mm F2
US004214816 Example01P,zemax,21.6,2.8,135,Konica Minolta 135mm F2.8 MD
US004234242_Example03_Tale60,zemax,21.6,1.8,50,Nikon AI Nikkor 50mm f/1.8S
US004241983 Example01P,zemax,21.6,4.5,500,Canon FD500mm f4.5L
US004251133 Example03P,zemax,21.6,4,300,Canon FD300mm f4L
US004260223_Example01P,zemax,21.6,2.8,55,Nikon Micro-Nikkor 55mm f/2.8
US004266860_Example02P,zemax,21.6,3.5,35,Nikon AI Zoom-Nikkor 35-70mm f/3.5
US004277149_EXAMPLE07P,zemax,21.6,2,45,Konica Minolta 45mm F2 MD Rokkor
US004289385_Example01P,zemax,10.2,2.8,50,Ricoh Pentax-110 50mm F2.8
US004293197_Example01P,zemax,21.6,4,300,Ricoh smc Pentax-M 300mm F4
US004303312_Example01P,zemax,21.6,3.5,70,Zeiss Vario-Sonnar T 3.5/70-210
US004303314 Example01_Tale80,zemax,21.6,2.8,100,Nikon Series E 100mm f/2.8
US004303314_Example03_Tale76,zemax,21.6,2.8,135,Nikon Series E 135mm f/2.8
US004324458 Example03P,zemax,21.6,5.6,300,Canon FD300mm f5.6 SSC
US004333714 Example01P,zemax,21.6,2.8,28,Vivitar MC 28mm f2.8
US004338001_Example02_Tale10,zemax,21.6,2.8,180,Nikon AI Nikkor 180mm f/2.8 ED
US004392724_Example01P,zemax,21.6,2.8,105,Nikon AI Micro-Nikkor 105mm f/2.8S
US004396256_Example01P,zemax,21.6,1.4,85,Nikon AI Nikkor 85mm f/1.4S
US004435049 Example05P,zemax,21.6,2,100,Olympus Zuiko Auto-T 100mm F2
US004437734_Example01_Tale69,zemax,21.6,4,120,Nikon Medical-Nikkor 120mm f/4 IF
US004447137_Example02P,zemax,21.6,1.8,135,Ricoh smc Pentax-A 135mm F1.8
US004448497_Example01P,zemax,21,1.4,50,Nikon Nikkor 50mm f/1.4
US004457596_Example01_Tale33,zemax,21.6,2.8,35,"Nikon ""Pikaichi"" L35AF 35mm f/2.8"
US004477153_Example01P,zemax,21.6,3.5,20,Canon FD20-35mm f3.5L Aspherical
US004487485 Example01P,zemax,37.5,2.8,45,Ricoh SMC Pentax 645 A 45mm f2.8
US004493536 Example01P,zemax,21.6,2.8,28,Konica Minolta 28mm F2.8 MD v2
US004514051 Example01P,zemax,21.6,,afocal,Nikon TC-14A (rear converter)
US004514051 ExampleML01P,zemax,21.6,2.8,180,Nikon Nikkor 180mm f/2.8 ED
US004514051 ExampleML02P,zemax,21.6,1.8,50,Nikon AI Nikkor 50mm f/1.8
US004545654_Example05P,zemax,21.6,2.8,400,Ricoh smc Pentax-A 400mm F2.8 ED [IF]
US004550987_Example01P,zemax,21.6,4,200,Ricoh smc Pentax-A 200mm F4
US004560253_Example02P,zemax,21.6,4,70,Konica Minolta AF 35-70mm F4
US004568150_Example04P,zemax,21.6,4,65,Olympus Zuiko Auto-Zoom 65-200mm F4
US004621909_Example03_Tale16,zemax,21.6,1.2,50,Nikon AI Nikkor 50mm f/1.2S
US004660940 Example03P,zemax,44.8,4,55,Ricoh smc Pentax 6x7 55mm f4
US004666260_Example01P,zemax,21.6,4,200,Ricoh smc Pentax-A 200mm F4 Macro ED
US004673258_Example01P,zemax,21.6,4.5,100,Konica Minolta AF 100-200mm F4.5
US004690513_Example04P,zemax,21.6,3.5,35,Canon EF35-135mm f3.5-4.5
US004690517_Example01P,zemax,21.6,2.8,20,Nikon AF Nikkor 20mm f/2.8D
US004708445 Example06P,zemax,21.6,2,50,Olympus Zuiko Auto-Macro 50mm F2
US004728179 ExampleMLP,zemax,21.6,1.8,50,Olympus Zuiko Auto-S 50mm F1.8
US004732459_Example04P,zemax,21.6,2,300,Nikon Nikkor 300mm f/2 ED-IF
US004764000_EXAMPLE08P,zemax,21.6,2.8,100,Konica Minolta AF 100mm F2.8 Macro
US004770509_Example04P,zemax,21.6,3.3,35,Nikon AF Zoom-Nikkor 35-70mm f/3.3-4.5
US004770516_Example05P,zemax,21.6,2.8,100,Ricoh smc Pentax-F 100mm F2.8 Macro
US004792215_Example03P,zemax,21.6,4,35,Ricoh Pentax-A 35-70mm f4
US004792219_Example03P,zemax,21.6,2,90,Olympus Zuiko Auto-Macro 90mm F2
US004793698_Example01P,zemax,21.6,2.8,135,Ricoh smc Pentax-F 135mm F2.8 [IF]
US004806003_EXAMPLE02P,zemax,21.6,1.4,35,Konica Minolta AF 35mm F1.4
US004826301 Example04P,zemax,21.6,2.8,135,Canon EF135mm f2.8 Soft Focus
US004904070_Example01P,zemax,21.6,4,600,Ricoh smc Pentax-FA 600mm F4ED[IF]
US004908639_Example02_Tale32,zemax,21.6,2,135,Nikon AI AF DC Nikkor 135mm F2S
US004923292_Example02P,zemax,21.6,2.8,50,Ricoh smc Pentax-D FA Macro 50mm F2.8
US004934797_Example03P,zemax,21.6,2,24,Ricoh smc Pentax-FA 24mm F2 AL [IF]
US004948236 Example03P,zemax,44.8,3.5,120,Ricoh smc Pentax 6x7 120mm f3.5 Soft focus
US004986643_Example05_Tale72,zemax,21.6,2.8,105,Nikon AI AF Micro-Nikkor 105mm f/2.8S
US005000550_Example01P,zemax,21.6,2.8,20,Canon EF20-35mm f2.8L
US005144488_Example01P,zemax,21.6,4,35,Canon EF35-135mm f4-5.6 USM
US005161060 Example01P,zemax,21.6,1.4,35,Leica Summilux-M 35mm F1.4 Asph v1
US005233474_Example01P,zemax,21.6,2.8,28,Ricoh smc Pentax-FA 28mm F2.8 AL
US005249079_Example01P,zemax,21.6,3.5,35,Konica Minolta 35-135mm F3.5-4.5 MD Zoom
US005257137 Example01P,zemax,21.6,2.8,50,Nikon R-UW AF Micro-Nikkor 50mm f/2.8
US005267086_Example01P,zemax,21.6,2.8,85,Ricoh smc Pentax-F 85mm F2.8 Soft
US005325234_Example03P,zemax,21.6,2.8,200,Ricoh smc Pentax-DA 200mm F2.8 ED[IF] SDM
US005434713_Example02_Tale53,zemax,21.6,2.8,16,Nikon AI AF Fisheye-Nikkor 16mm f/2.8D
US005490012_Example01P,zemax,21.6,2.8,20,Nikon R-UW AF Zoom-Nikkor 20-35mm f/2.8
US005557473_Example03P,zemax,21.6,2.8,28,Nikon AF Nikkor 28mm f/2.8D
US005579169 Example01P,zemax,21.6,2.8,13,Nikon R-UW AF Fisheye-Nikkor 13mm f/2.8
US005640277_Example01_Tale41,zemax,21.6,1.4,85,Nikon AF Nikkor 85mm f/1.4D IF
US005710669_Example11P,zemax,21.6,2.8,17,Canon EF17-35mm f2.8L USM
US005751485_Example01P,zemax,21.6,2.8,60,Nikon AF Micro-Nikkor 60mm f/2.8D
US005822132_Example01P,zemax,21.6,2.8,28,Ricoh smc Pentax-FA 28mm F2.8 Soft
US00583336-2-scaled,zemax,22.5,4.5,50,double gauss - original patent
US005899585_Example01P,zemax,21.6,3.5,28,Canon EF28-80mm f3.5-5.6 II
US006061180_Example01P,zemax,21.6,3.5,28,Canon EF28-135mm f3.5-5.6 IS USM
US006115188_Example01P,zemax,21.6,2.8,300,Canon EF300mm f2.8L IS USM
US006115188_Example22P,zemax,21.6,4,600,Canon EF600mm f4L IS USM
US006115188_Example24P,zemax,21.6,4,500,Canon EF500mm f4L IS USM
US006239919_Example04P,zemax,21.6,2.8,400,Nikon AF-S Nikkor 400mm f/2.8D IF-ED II
US006359739_Example05P,zemax,21.6,4,200,Ricoh smc Pentax-FA 200mm F4 Macro ED [IF]
US006384987 Example05P,zemax,21.6,2,35,Ricoh smc Pentax-FA 35mm F2 AL
US006560042_Example03P,zemax,21.6,1.8,31,Ricoh smc Pentax-FA 31mm F1.8 AL Limited
US007161746_Example09P,zemax,14.2,2.8,10.5,Nikon AF Fisheye-Nikkor 10.5mm f/2.8G ED
US007218457_Example03P,zemax,21.6,2.8,105,Nikon AF-S Micro-Nikkor 105mm f/2.8G VR
US007408719_Example01P,zemax,11.4,2,150,Olympus Zuiko Digital ED 150mm F2.0
US007411746_Example01P,zemax,14.2,3.2,21,Ricoh HD Pentax-DA 21mm F3.2 Limited
US007542219_Example01P,zemax,15.3,2.4,70,Ricoh HD Pentax-DA 70mm F2.4 Limited
US007656591_Example01P,zemax,29.3,2.8,45,Nikon PC-E Micro-Nikkor 45mm f/2.8D ED
US007706085_Example01P,zemax,11.2,2.8,25,Olympus Zuiko Digital 25mm F2.8
US007715116_Example07P,zemax,21.6,4,300,Ricoh smc Pentax-DA 300mm F4 ED[IF] SDM
US007715117_Example01P,zemax,21.6,1.4,24,Canon EF24mm f1.4L II USM
US007715118_Example01P,zemax,14.2,2.8,35,Ricoh HD Pentax-DA 35mm F2.8 Macro Limited
US007864451_Example01P,zemax,21.6,2.8,100,Canon EF100mm f2.8L Macro IS USM
US007898744_Example02P,zemax,"21,6",2.8,60,Nikon AF-S Micro-Nikkor 60mm f/2.8G ED
US008203795_Example05P,zemax,14.8,2.8,60,Samsung 60mm F2.8 Macro ED SSA OIS
US008416512_Example03P,zemax,21.6,1.4,24,Nikon AF-S Nikkor 24mm f/1.4G ED
US008508864_Example02P,zemax,15.6,27,40,Leica Summilux C 40mm T1.4
US008755132_Example01P,zemax,11.45,2.8,17,Olympus M.Zuiko 17mm F2.8
US008767319_Example01P,zemax,21.6,1.4,85,Nikon AF-S Nikkor 85mm f/1.4G
US008854747_Example01P,zemax,13.6,2,22,Canon EF-M22mm f2 STM
US008879901_Example03P,zemax,NA,NA,NA,Metabones Canon EF Lens to Sony E Mount T Speed Booster Ultra 0.71x
US008879901_Example04P,zemax,NA,NA,NA,Metabones M43 Speed Booster 0.71x
US008879901_Example04PP,zemax,10.8,1.2,50,Nikon AI Nikkor 50mm f/1.2S with Metabones M43 Speed Booster 0.71x
US008970966_Example02P,zemax,21.6,2.8,40,Canon EF40mm f2.8 STM
US009063253_Example01P,zemax,21.6,2.8,90,Tamron SP 90mm F/2.8 Di Macro 1:1 VC USD
US010048474_Example01P,zemax,11.15,2.8,60,Olympus M.Zuiko ED 60mm F2.8 Macro
US010073255_Example04P,zemax,10.8,1.2,17,Olympus M.Zuiko ED 17mm F1.2 Pro
US010107992_Example04P,zemax,10.8,4,300,Olympus M.Zuiko ED 300mm F4.0 IS Pro
US010168507 Example04P,zemax,14.2,2,50,Fujifilm Fujinon XF50mm F2 R WR
US010191254 Example10P,zemax,21.63,2,28,Sony FE 28mm F2
US010571651 Example01P,zemax,33.63,2.8,50,Canon TS-E50mm f2.8L Macro
US01786916-1,zemax,20.8,1.5,59,double gauss
US01998704-1,zemax,9.1,3.3,25,Cox Example 4-02
US02012822-1,zemax,8.12,2.2,25,Cox Example 4-03
US02019985-1,zemax,0.359,2,1,"double gauss, Wikipedia reference"
US02029806-1,zemax,6.23,2.4,25,Cox Example 4-03
US02031792-2,zemax,25,12.5,25,"Symmetric, Cox example 3-02"
US02076190-1,zemax,3.51,2.7,25,Petzval/ Cox Example 5-01
US02084714-1,zemax,0.362,3.5,1,modified triplet
US02105799-1,zemax,11.13,4.9,25,"Modified triplet, Cox Example 4-08"
US02106077-1,zemax,10.1,4.5,25,"Double-gauss variant, Cox example 3-03"
US02116264-1,zemax,27.77,10,25,"Nearly symmetric, Cox example 3-04"
US02117252-1,zemax,10.1,3.4,25,"Double-gauss, Cox example 3-05"
US02124301-1,zemax,9.1,4.9,25,Cox Example 4-09
US02124356-1,zemax,11.13,3,25,Cox Example 4-10
US02126126-1,zemax,567.13,16.7,100,Zeiss. Cox example 9-01
US02130760-1,zemax,0.359,2.2,1,double gauss
US02158179-1,zemax,6.23,4,25,Cox example 5-02
US02158201-1,zemax,8.12,5.6,25,Cox example 5-03
US02158202-1,zemax,4.86,2.2,25,Petzval/ Cox Example 5-04
US02158507-1,zemax,4.23,12,24,Cox example 1-07
US02164028-1,zemax,5.31,4,25,Cox Example 4-13
US02165328-1,zemax,12,3.8,62,modified triplet
US02170428-1,zemax,9.1,2.7,25,Cox Example 4-15
US02171274-1,zemax,4.41,6.6,25,Cox Example 4-16
US02171274-2,zemax,5.31,10,25,Cox Example 4-17
US02171640-1,zemax,9.1,3.1,25,"Double-gauss variant, Cox example 3-07"
US02171641-1,zemax,9.6,3.2,25,"Double-gauss variant, Cox example 3-08"
US02186621-2,zemax,11.13,3,25,Cox Example 4-18
US02186622-1,zemax,14.43,4.9,25,Cox Example 4-19
US02187780-1,zemax,5.31,2.5,25,Petzval. Cox Example 5-05
US02194413-1,zemax,8.12,3.3,25,"Double-gauss, Cox example 3-09"
US02194413-1(1),zemax,76,2,200,double gauss
US02250337-1,zemax,11.13,3.1,25,"Double-gauss, Cox example 3-10"
US02252681-1,zemax,8.12,3.5,25,"Double-gauss, Cox example 3-11"
US02252682-1,zemax,8.12,3.4,25,"Double-gauss, Cox example 3-12"
US02254511-1,zemax,12.74,3,25,Cox Example 4-22
US02259004-1,zemax,10.1,3.1,25,Cox Example 4-23
US02270234-1,zemax,8.12,4.5,25,"Triplet, Cox Example 4-24"
US02288502-1,zemax,11.66,6.3,25,"Modified triplet, Cox Example 4-25"
US02297452-1,zemax,5.31,2.4,25,Cox Example 4-26
US02298090-1,zemax,9.6,4.7,25,Cox Example 4-27. Material on 3rd element?
US02310502-1,zemax,8.12,3.2,25,Cox Example 4-28
US02325275-1,zemax,22.51,8.9,25,"Symmetric, Cox example 3-14"
US02336207-1,zemax,8.12,2.9,25,"Double-gauss variant, Cox example 3-15"
US02336300-1,zemax,14.43,4.9,25,Cox Example 4-29
US02338614-1,zemax,13.29,8.3,25,Cox Example 4-30
US02343385-1,zemax,9.6,5.4,25,Cox example 7-02
US02343629-1,zemax,13.29,6.3,25,Cox Example 4-31
US02346062-1,zemax,9.6,10,25,"Double-gauss variant, Cox example 3-17"
US02348667-1,zemax,10.1,3.9,25,"Double-gauss variant, Cox example 3-18"
US02350035-1,zemax,9.1,2.8,25,"Double-gauss variant, Cox example 3-19"
US02363712-1,zemax,9.6,4.7,25,Cox Example 4-35
US02379392-1,zemax,13.29,3,25,"Double-gauss variant, Cox example 3-20"
US02380207-1,zemax,8.12,10,25,Cox example 6-03
US02382669-1,zemax,5.31,10,25,Cox example 6-04
US02391209-1,zemax,29,2,49.7,double gauss
US02391209-1(1),zemax,14.43,4.3,25,"Double-gauss, Cox example 3-22"
US02397714-2,zemax,9.6,5.4,25,Cox example 3-22
US02416443-1,zemax,9.6,4.7,25,Cox Example 4-39
US02417736-1,zemax,9.6,10,25,"Modified triplet, Cox Example 4-40"
US02418001-1,zemax,13.29,5,25,"Symmetric, Cox example 3-24"
US02430548-1,zemax,14.43,7.6,25,"Double-gauss, Cox example 3-25"
US02432387-1,zemax,9.6,3.3,25,Cox Example 4-41
US02437505-1,zemax,4.86,6.6,25,Cox example 6-05
US02441093-2,zemax,5.31,10.4,25,Cox example 6-06
US02443156-1,zemax,6.7,8.3,25,Cox Example 4-42
US02452909-1,zemax,3.96,10,25,"Telephoto, Cox example 4-45"
US02458636-1,zemax,5.77,7.6,25,Cox example 6-07
US02466424-1,zemax,14.43,5.2,25,"Double-gauss, Cox example 3-26"
US02466424-2,zemax,14.43,4.7,25,"Double-gauss, Cox example 3-27"
US02475938-1,zemax,14.43,8.3,25,"Double-gauss, Cox example 3-28"
US02487749-1,zemax,9.1,3.3,25,"Double-gauss, Cox example 3-29"
US02499264-2,zemax,11.13,3.8,25,"Double-gauss, Cox example 3-30"
US02502508-1,zemax,8.12,5,25,"Modified triplet, Cox example 4-48"
US02518719-1,zemax,20.98,10,25,"Near-symmetic, Cox example 3-31"
US02528212-1,zemax,9.6,3.3,25,Cox example 4-51
US02532751-1,zemax,0.359,2.2,1,double gauss - poor field curvature
US02532752-1,zemax,11.13,3.6,25,"Double-gauss, Cox example 3-33"
US02536508-1,zemax,9.6,2.7,25,Cox example 4-52
US02541484-1,zemax,6.7,2.5,25,Petzval. Cox Example 5-06
US02548569-1,zemax,23,2,50,inverse telephoto
US02548569-1(1),zemax,11,2,25,
US02559875-1,zemax,14.43,6.3,25,"Double-gauss, Cox example 3-35"
US02562012-1,zemax,14.43,6.3,25,Cox example 4-54
US02574995-1,zemax,14.43,3.7,25,Cox example 4-55
US02576436-1,zemax,5.77,8.9,25,Cox example 6-09
US02586866-8,zemax,3.96,2.2,25,"CRT Projector, negative BFL, Cox example 4-57"
US02594020-1,zemax,9.6,4.2,25,Telecentric. Cox example 7-04
US02600207-3,zemax,9.6,2.7,25,"Double-gauss, Cox example 3-36"
US02600208-1,zemax,9.6,4.7,25,Cox example 4-58
US02600610-1,zemax,9.6,2.8,25,Cox example 4-59
US02601367-1,zemax,6.7,4.2,25,Cox example 4-60
US02601369-1,zemax,0.26,2.8,1,modified triplet
US02601592-1,zemax,14.43,6.6,25,"Double-gauss, Cox example 3-37"
US02601593-1,zemax,14.43,6.6,25,"Double-gauss, Cox example 3-38"
US02601594-1,zemax,14.43,5.8,25,"Double-gauss, Cox example 3-39"
US02601805-1,zemax,21,2,200,double gauss
US02601805-1(1),zemax,9.1,2.8,25,"Double-gauss, Cox example 3-40"
US02604013-1,zemax,2.63,1.7,25,Cox example 4-62
US02614461-1,zemax,4.89,3.2,23,"Double-gauss, Cox example 3-41"
US02622478-1,zemax,12.74,3.2,25,"Double-gauss, Cox example 3-42"
US02622479-1,zemax,9.6,4.5,25,Cox example 4-63
US02622480-1,zemax,14.43,5.6,25,Cox example 4-64
US02623434-1,zemax,16.24,5.4,25,Double Gauss variant. Cox example 4-65
US02627204-2,zemax,12.19,3.6,25,"Double-gauss, Cox example 3-43"
US02627205-3,zemax,11.66,3.6,25,"Double-gauss, Cox example 3-44"
US02629285-1,zemax,5.31,8.3,25,Cox example 6-10
US02641966-1,zemax,11.13,3.5,25,"Double-gauss, Cox example 3-47"
US02645156-1,zemax,13.29,6.6,25,Double Gauss variant. Cox example 4-66
US02645157-1,zemax,11.13,5.4,25,Triplet. Cox example 4-67
US02645973-1,zemax,8.12,3,25,"Double-gauss, Cox example 3-49"
US02645974-1,zemax,16.24,6.8,25,"Double-gauss, Cox example 3-50"
US02645975-1,zemax,9.1,4.3,25,"Double-gauss, Cox example 3-51"
US02646721-1,zemax,11.13,3.1,25,"Double-gauss, Cox example 3-52"
US02662447-1,zemax,11.13,3.1,25,"Double-gauss, Cox example 3-54"
US02663221-1,zemax,9.6,5.4,25,Cox example 4-70
US02670659-2,zemax,14.43,8.3,25,"Double-gauss, Cox example 3-55"
US02671380-1,zemax,12.19,6.4,25,"Double-gauss, Cox example 3-56"
US02673491-1,zemax,21,2,50,double gauss
US02676517-1,zemax,12.76,6.3,24,"Double-gauss, Cox example 3-58"
US02677989-1,zemax,14.43,4.5,25,"Double-gauss, Cox example 3-59"
US02682198-1,zemax,10.1,3.3,25,"Double-gauss, Cox example 3-61"
US02683396-1,zemax,11.66,3.3,25,"Double-gauss, Cox example 3-62"
US02687063-1,zemax,9.1,3.3,25,"Double-gauss, Cox example 3-63"
US02687064-1,zemax,9.6,4.7,25,Cox example 4-72
US02696758-1,zemax,16.24,7.8,25,Cox example 7-06
US02701982-1,zemax,8.12,2.3,25,"Double-gauss, Cox example 3-64"
US02718174-1,zemax,9.6,2.4,25,Double Gauss variant. Cox example 4-73
US02720139-1,zemax,13.29,3.5,25,"Double-gauss variant, Cox example 3-65"
US02720814-1,zemax,6.7,4.5,25,Triplet. Cox example 4-74
US02720816-1,zemax,8.12,4.7,25,Triplet. Cox example 4-75
US02721499-3,zemax,18.16,5.4,25,Cox example 9-04
US02721501-1,zemax,9.6,4.7,25,Triplet. Cox example 4-76
US02724992-1,zemax,9.6,4.9,25,Triplet. Cox example 4-77
US02724994-1,zemax,13.29,4.7,25,"Double-gauss variant, Cox example 3-66"
US02730015-1,zemax,20.98,8.9,25,"Double-gauss variant, Cox example 3-67"
US02730017-1,zemax,6.7,8.9,25,Cox example 6-12
US02731884-1,zemax,9.6,4.9,25,Triplet. Cox example 4-78
US02732762-1,zemax,9.1,4.9,25,Triplet. Cox example 4-79
US02733636-1,zemax,14.43,4.5,25,"Double-gauss variant, Cox example 3-68"
US02736234-1,zemax,5.31,4.5,25,Triplet. Cox example 4-80
US02744447-2,zemax,14.43,4.7,25,"Double-gauss variant, Cox example 3-69"
US02750839-1,zemax,11.66,5.4,25,Modified triplet. Cox example 4-81
US02760406-1,zemax,8.12,3.7,25,Modified triplet. Cox example 4-83
US02760406-1(1),zemax,30,2,102,
US02764062-1,zemax,12.74,5.4,25,Modified triplet. Cox example 4-84
US02771006-1,zemax,8.12,2.4,25,"Double-gauss, Cox example 3-70"
US02771817-1,zemax,9.6,4.7,25,"Double-gauss, Cox example 3-71"
US02772601-2,zemax,16.24,5.6,25,Cox example 7-08
US02774280-1,zemax,12.74,6.3,25,"Double-gauss variant, Cox example 3-72"
US02777363-1,zemax,8.12,2.7,25,"Double-gauss variant, Cox example 3-73"
US02777363-1(1),zemax,0.25,2,1,double gauss
US02784643-1,zemax,11.13,3,25,"Double-gauss variant, Cox example 3-74"
US02785602-1,zemax,1.66,4.2,19,Cox example 1-09
US02792749-1,zemax,18.16,6.6,25,"Double-gauss variant, Cox example 3-75"
US02793565-1,zemax,14.43,4.9,25,Cox example 7-09
US02799207-1,zemax,9.6,4.7,25,"Double-gauss variant, Cox example 3-76"
US02799207-3,zemax,9.1,5,25,"Double-gauss variant, Cox example 3-77"
US02807983-2,zemax,7.17,3.3,25,"Double-gauss variant, Cox example 3-78"
US02810322-1,zemax,6.7,10,25,Cox example 6-13
US02818776-1,zemax,14.43,4.1,25,"Double-gauss variant, Cox example 3-79"
US02818777-1,zemax,10.1,5.4,25,Triplet. Cox example 4-86
US02824492-3,zemax,5.31,4.9,25,Cox example 6-14
US02824493-2,zemax,6.7,4.1,25,Cox example 12-02
US02824494-1,zemax,12.74,3.3,25,Schneider double gauss. Cox example 12-03
US02824495-1,zemax,16.24,8.3,25,"Schneider cine lens, Cox example 7-10"
US02826116-1,zemax,13.29,4.6,25,"Double-gauss variant, Cox example 3-80"
US02827835-1,zemax,2.63,3,25,Petzval. Cox Example 5-09
US02828671-1,zemax,13.29,2.2,25,"Double-gauss variant, Cox example 3-81"
US02833181-1,zemax,5.31,8.3,25,Cox example 6-15
US02845845-1,zemax,29.79,10,25,"Symmetric, Cox example 3-85"
US02849918-1,zemax,16.24,6.6,25,Cox example 7-12
US02850945-1,zemax,2.63,5,25,Cox example 1-10
US02854889-1,zemax,12.74,4.9,25,Modfied riplet. Cox example 4-86
US02861500-1,zemax,5.31,2.5,25,Cox example 4-88
US02862418-1,zemax,6.7,4,25,Cox example 7-13
US02892381-1,zemax,11.13,5.8,25,"Symmetric, Cox example 3-87"
US02894431-1,zemax,8.12,2.3,25,Double-gauss Cox example 3-88
US02895379-1,zemax,6.7,3.3,25,Double-gauss Cox example 3-89
US02896506-1,zemax,15.62,3.2,25,Double-gauss Cox example 3-90
US02897723-1,zemax,7.64,7.6,25,Double-gauss Cox example 3-91
US02897724-1,zemax,11.13,1.9,25,"Double-gauss, telecentric, Cox example 3-92"
US02906173-1,zemax,8.12,8.3,25,Cox example 6-16
US02906174-1,zemax,12.74,4.9,25,"Double-gauss, Cox example 3-93"
US02920528-1,zemax,9.6,3.3,25,"Double-gauss, Cox example 3-94"
US02959100-1,zemax,14.43,4.5,25,Cox example 7-14
US02959100-2,zemax,14.43,4.9,25,Cox example 7-15
US02959102-1,zemax,0.58,2.5,1,double gauss
US02967459-1,zemax,18.16,7.6,25,"Double-gauss, Cox example 3-96"
US02968221-1,zemax,16.24,4.9,25,"Double-gauss, Cox example 3-97"
US02983192-1,zemax,14.43,3.5,25,"Double-gauss, Cox example 3-98"
US02991696-1,zemax,8.12,2.4,25,Cox example 4-89
US02995980-1,zemax,9.1,4.6,25,Modified triplet. Cox example 4-90
US03005379-1,zemax,9.1,3,25,"Double-gauss, Cox example 3-99"
US03006249-1,zemax,21,2,37,double gauss
US03012476-1,zemax,36,2,100,double gauss - off-axis problems
US03018688-1,zemax,9.1,4.5,25,Cox example 4-91
US03023671-2,zemax,14.43,3.3,25,"Double-gauss, Cox example 3-102"
US03029698-1,zemax,12.74,3.3,25,"Double-gauss, Cox example 3-103"
US03030860-1,zemax,9.1,4.7,25,Cox example 7-16
US03033081-1,zemax,5.5,3.6,25.4,
US03038380-1,zemax,14,7.7,25,double gauss
US03043193-1,zemax,9.4,3,25,double gauss
US03045547-1,zemax,12.5,1.4,28,
US03451745-1,zemax,37,1.5,100,"double gauss, Wikipedia reference"
US03515462-1,zemax,127,4.2,100,fisheye: +-90 deg FOV
US03524697-1,zemax,17,6,10,fisheye: +-110 deg FOV
US03524697-2,zemax,22,5.6,10,fisheye
US03560079-1,zemax,21,2,50,double gauss
US03737214-1,zemax,16.5,3,9,fisheye: +-110 deg FOV
US03741630-1,zemax,1.41,3,1,fisheye: +-90 deg FOV
US03850509-1,zemax,0.57,3.5,0.48,fisheye: +-90 deg FOV
US03887269-1,zemax,21.7,11,925,
US03915558-1,zemax,21.7,1.5,40,
US03994576-1,zemax,21.7,1.5,45,
US03997248-1,zemax,21.7,2,100,
US04013349-1,zemax,21.7,4,25,
US04099843-1,zemax,21.7,1.2,55,
US04099849-2,zemax,21,2.2,29,
US04136931-1,zemax,21.7,1.5,37,
US04182550-1,zemax,41,1.4,100,double gauss
US04235519-1,zemax,56,2,96,
US04251133-1,zemax,0.074,4,1,
US04273415-1,zemax,14,4.8,50,double gauss
US04331391-1,zemax,76,4.9,75,
US04364644-1,zemax,21,2,50,double gauss
US04390250-1,zemax,21.7,2.9,33,
US04396255-1,zemax,21,2,40,double gauss (Laikin reference)
